trial_id,type,start_frame,end_frame,t_rel_cs,t_rel_us
trial_001,retraction,137,154,3.566595691868131,-0.4333247102269692
trial_001,retraction,182,197,5.0665658426537945,1.0666454405586936
trial_001,retraction,198,213,5.599888562933141,1.5999681608380403
trial_001,retraction,214,229,6.133211283212487,2.133290881117387
trial_001,freeze,5,31,-0.8333167504364792,-4.83323715253158
trial_001,freeze,35,148,0.16666335008729585,-3.833257052007805
trial_002,retraction,136,151,3.533263021850672,-0.4666573802444284
trial_002,retraction,177,192,4.899902492566498,0.8999820904713977
trial_002,retraction,193,208,5.433225212845845,1.4333048107507445
trial_002,retraction,209,226,5.966547933125192,1.9666275310300911
trial_002,freeze,33,65,0.09999801005237752,-3.8999223920427233
trial_002,freeze,67,97,1.2333087906459894,-2.766611611449111
trial_002,freeze,112,141,2.733278941431652,-1.2666414606634486
trial_003,retraction,135,150,3.499930351833213,-0.4999900502618876
trial_003,retraction,181,204,5.033233172636335,1.0333127705412344
trial_003,retraction,214,231,6.133211283212487,2.133290881117387
trial_003,freeze,0,29,-0.9999801005237752,-4.999900502618876
trial_003,freeze,32,124,0.06666534003491835,-3.9332550620601823
trial_003,freeze,126,148,3.1999363216760806,-0.7999840804190201
trial_004,retraction,137,152,3.566595691868131,-0.4333247102269692
trial_004,retraction,186,204,5.1998965227236305,1.1999761206285302
trial_004,retraction,206,222,5.866549923072815,1.8666295209777135
trial_004,retraction,224,239,6.466537983387079,2.466617581291979
trial_004,freeze,0,32,-0.9999801005237752,-4.999900502618876
trial_004,freeze,34,56,0.1333306800698367,-3.866589722025264
trial_004,freeze,58,148,0.9333147604888568,-3.0666056416062437
trial_005,retraction,136,152,3.533263021850672,-0.4666573802444284
trial_005,retraction,184,200,5.1332311826887125,1.1333107805936118
trial_005,retraction,201,216,5.699886572985518,1.6999661708904177
trial_005,retraction,217,235,6.233209293264865,2.2332888911697646
trial_005,freeze,0,30,-0.9999801005237752,-4.999900502618876
trial_005,freeze,33,82,0.09999801005237752,-3.8999223920427233
trial_005,freeze,87,139,1.8999621909951727,-2.0999582110999278
trial_006,retraction,135,153,3.499930351833213,-0.4999900502618876
trial_006,retraction,182,200,5.0665658426537945,1.0666454405586936
trial_006,retraction,201,216,5.699886572985518,1.6999661708904177
trial_006,retraction,217,235,6.233209293264865,2.2332888911697646
