trial_index,onset_s,label,method,light_ok,baseline_mean,flash_max
1,611.388,paired,flash->sound-4s,True,65.64979796006944,186.46877604166667
2,629.387,paired,flash->sound-4s,True,64.7987345920139,185.57309244791668
3,649.387,paired,flash->sound-4s,True,65.24211480034722,185.10104166666667
4,673.287,paired,flash->sound-4s,True,65.55085091145834,186.1262738715278
5,693.286,paired,flash->sound-4s,True,65.61756011284722,185.25405490451388
6,712.286,paired,flash->sound-4s,True,65.50478645833334,184.94473958333333
7,736.285,paired,flash->sound-4s,True,65.6263825954861,184.19268663194444
8,756.185,paired,flash->sound-4s,True,65.71918142361112,185.58225477430557
9,774.185,paired,flash->sound-4s,True,65.58189887152778,186.00964084201388
10,795.758,sound_only,audio_gap,False,65.70517274305556,65.71944986979166
11,816.184,paired,flash->sound-4s,True,65.60059700520834,183.54817708333334
12,839.083,paired,flash->sound-4s,True,65.64155425347222,186.0585080295139
13,859.083,paired,flash->sound-4s,True,65.74207118055554,186.0305392795139
14,880.982,paired,flash->sound-4s,True,65.68495421006944,183.28155164930556
15,902.082,paired,flash->sound-4s,True,65.93522829861112,185.49874240451388
16,923.982,paired,flash->sound-4s,True,65.69693598090278,187.31071397569445
17,946.981,paired,flash->sound-4s,True,65.39962651909723,185.9177365451389
18,965.981,paired,flash->sound-4s,True,65.48753645833332,186.65433268229165
19,983.88,paired,flash->sound-4s,True,65.70591254340277,186.8106521267361
20,998.371,sound_only,audio_gap,False,65.58374913194444,65.53109375
21,1023.88,paired,flash->sound-4s,True,65.47714171006945,186.26953993055557
22,1047.879,paired,flash->sound-4s,True,65.67834483506945,186.2086252170139
23,1067.779,paired,flash->sound-4s,True,65.64751822916666,186.55879014756945
24,1085.778,paired,flash->sound-4s,True,65.538818359375,186.1940972222222
25,1105.778,paired,flash->sound-4s,True,65.78523936631944,185.95702473958335
26,1127.677,paired,flash->sound-4s,True,65.71936588541666,184.90374782986112
27,1148.677,paired,flash->sound-4s,True,65.65580230034723,185.7081987847222
28,1166.677,paired,flash->sound-4s,True,65.65560026041666,185.6801519097222
29,1190.676,paired,flash->sound-4s,True,65.79313953993055,186.26623589409724
30,1207.235,sound_only,audio_gap,False,65.73522873263889,65.72172200520833
31,1232.575,paired,flash->sound-4s,True,65.69179752604167,185.50846571180554
32,1250.575,paired,flash->sound-4s,True,65.5691115451389,185.8313161892361
33,1269.575,paired,flash->sound-4s,True,65.64767947048611,186.4302615017361
34,1287.574,paired,flash->sound-4s,True,65.60502018229167,186.08137152777778
35,1309.474,paired,flash->sound-4s,True,65.32951258680556,185.7394487847222
36,1333.473,paired,flash->sound-4s,True,65.51582834201388,185.70870876736112
37,1351.473,paired,flash->sound-4s,True,65.55186588541666,185.40860243055556
38,1371.373,paired,flash->sound-4s,True,65.51076432291667,185.77677625868054
39,1394.372,paired,flash->sound-4s,True,65.51567057291666,185.71148654513888
40,1415.068,sound_only,audio_gap,False,65.56562760416666,65.55825629340278
41,1440.371,paired,flash->sound-4s,True,65.48996484375,185.17055121527778
42,1460.371,paired,flash->sound-4s,True,65.93450607638889,183.8448828125
43,1483.27,paired,flash->sound-4s,True,65.44335503472222,186.37317274305556
44,1501.27,paired,flash->sound-4s,True,65.62828081597222,185.8403537326389
45,1520.27,paired,flash->sound-4s,True,65.55777951388889,186.08657443576388
46,1538.169,paired,flash->sound-4s,True,65.57903168402777,185.6228200954861
47,1559.169,paired,flash->sound-4s,True,65.67296397569444,185.75055447048612
48,1579.169,paired,flash->sound-4s,True,65.38100412326389,186.00903754340277
49,1597.068,paired,flash->sound-4s,True,65.66375303819446,181.3892133246528
50,1619.348,sound_only,audio_gap,False,65.70695182291666,65.74517144097223
